id,product_id,batch_number,manufacture_date,photo_path,color_check_result,comment,created_at,avg_r,avg_g,avg_b,avg_lab,label,rus_color_name
114,50,130,2025-07-17,pictures/1753109990750_50_130.jpg,не соответствует,,2025-07-21T14:59:52.830742,172,174,165,"[70.70470062742815, -2.3695657907740197, 4.360117333142011]",,Темно-серый
115,62,14,2025-07-17,pictures/1753110069753_62_14.jpg,не соответствует,,2025-07-21T15:01:11.889746,170,176,170,"[71.2135992772174, -3.2398446081281507, 2.327014780719505]",,Серебряная чаша
116,54,24,2025-07-17,pictures/1753110205865_54_24.jpg,не соответствует,,2025-07-21T15:03:27.843557,171,176,169,"[71.26430707316952, -3.0713628743235244, 2.9598239919533587]",,Серебряная чаша
117,95,48,2025-07-18,pictures/1753110309810_95_48.jpg,не соответствует,,2025-07-21T15:05:12.370908,162,165,157,"[67.29651010773166, -2.571805068615818, 3.7611487450205594]",,Дельта
118,67,120,2025-07-20,pictures/1753110388146_67_120.jpg,не соответствует,,2025-07-21T15:06:31.230765,176,177,159,"[71.67533975028256, -3.5770902472923582, 9.088595515481646]",,Бутон
119,67,119,2025-07-19,pictures/1753110459234_67_119.jpg,не соответствует,,2025-07-21T15:07:41.654971,176,177,159,"[71.67533975028256, -3.5770902472923582, 9.088595515481646]",,Бутон
120,50,133,2025-07-22,pictures/1753194739679_50_133.jpg,не соответствует,,2025-07-22T14:32:22.970154,169,171,162,"[69.59006583738132, -2.376838029439221, 4.374487504452662]",,Бутон
121,78,110,2025-07-22,pictures/1753194810769_78_110.jpg,не соответствует,,2025-07-22T14:33:33.491979,170,172,162,"[69.93686114376813, -2.554963578293712, 4.884932178937906]",,Бутон
122,67,121,2025-07-22,pictures/1753194883274_67_121.jpg,не соответствует,,2025-07-22T14:34:45.840949,177,178,159,"[72.02154682234354, -3.7437731739252134, 9.59249702459739]",,Кочевник
123,71,77,2025-07-19,pictures/1753195008937_71_77.jpg,не соответствует,,2025-07-22T14:36:51.590152,173,177,170,"[71.71133828934086, -2.71272931684835, 3.0776458532303597]",,Серебряная фольга
124,70,13,2025-07-18,pictures/1753195104485_70_13.jpg,не соответствует,,2025-07-22T14:38:27.380366,176,176,153,"[71.26944096342325, -4.0463665439671175, 11.796672429074583]",,Серо-коричневый
125,1,42,2025-07-19,pictures/1753195202396_1_42.jpg,не соответствует,,2025-07-22T14:40:07.0051,163,160,146,"[65.75136255629508, -1.4405816399069016, 7.676889555365141]",,Железо
126,73,77,2025-07-21,pictures/1753195485015_73_77.jpg,"Нет цветов с подстрокой: ""светло-кремовый""",,2025-07-22T14:44:49.209597,163,161,149,"[66.09458820333687, -1.464597867075923, 6.495082714473321]",,Железо
127,68,43,2025-07-22,pictures/1753195633586_68_43.jpg,не соответствует,,2025-07-22T14:47:16.579841,173,171,160,"[69.85815870930651, -1.278728524660877, 5.905621614279011]",,Облачно
128,84,5,2025-07-17,pictures/1753195775850_84_5.jpg,не соответствует,,2025-07-22T14:49:39.078712,164,161,144,"[66.05571701318098, -1.9520216236416643, 9.236502109692601]",,Серый Оливковый
129,68,44,2025-07-22,pictures/1753260775631_68_44.jpg,не соответствует,,2025-07-23T08:53:00.606844,179,176,158,"[71.62482058992896, -2.1038706124849593, 9.596994870447295]",,Кочевник
130,68,45,2025-07-23,pictures/1753260894060_68_45.jpg,не соответствует,,2025-07-23T08:54:57.22927,172,168,148,"[68.68895129515207, -2.0692983063954062, 10.847573953734369]",,Напа
131,58,31,2025-07-19,pictures/1753261185828_58_31.jpg,"Нет цветов с подстрокой: """"",,2025-07-23T08:59:49.424016,160,157,140,"[64.5484806375697, -1.9561527193241446, 9.280264282387218]",,Лимонная трава
132,62,16,2025-07-22,pictures/1753261401673_62_16.jpg,не соответствует,,2025-07-23T09:03:24.052471,174,181,179,"[73.08970956434136, -2.818711303533783, 0.15912218477265316]",,Филиппинское серебро
